Downscaled Variable,Predictor,Test Loss,Backbone,Filters,Blocks,Epochs,Parameters,Upsampling Method,Interpolation Method,Batch Size,Learning Rate,Loss Function,Early Stopping,Training Runtime,Model Path
T2,NULL,0.436321,resnet,4,1,3,1472,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:23.813010,/home/gvaillant1/downscaling/pretrained-models/T2-Tristate-Best-Model
T2,NULL,0.361178,densenet,4,1,3,1888,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:34.324918,/home/gvaillant1/downscaling/pretrained-models/T2-Tristate-Best-Model
T2,NULL,0.049956,resnet,8,8,25,413565,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:15:56.155803,/home/gvaillant1/downscaling/pretrained-models/T2-Tristate-Best-Model
T2,NULL,0.060718,densenet,8,8,25,712382,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:21:12.214881,/home/gvaillant1/downscaling/pretrained-models/T2-Tristate-Other-Models
T2,NULL,0.052992,resnet,8,16,25,2477405,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:35:53.880818,/home/gvaillant1/downscaling/pretrained-models/T2-Tristate-Other-Models
T2,NULL,0.049506,resnet,8,16,50,2477405,spc,inter_area,60,"(0.001, 0.0001)",mae,False,1:10:37.694527,/home/gvaillant1/downscaling/pretrained-models/T2-Tristate-Best-Model
T2,NULL,0.056116,resnet,16,16,25,9901167,spc,inter_area,60,"(0.001, 0.0001)",mae,False,1:42:21.170380,/home/gvaillant1/downscaling/pretrained-models/T2-Tristate-Other-Models
T2,NULL,0.05006,resnet,16,16,50,9901167,spc,inter_area,60,"(0.001, 0.0001)",mae,False,3:44:27.887643,/home/gvaillant1/downscaling/pretrained-models/T2-Tristate-Other-Models
