Downscaled Variable,Predictor,Test Loss,Backbone,Filters,Blocks,Epochs,Parameters,Upsampling Method,Interpolation Method,Batch Size,Learning Rate,Loss Function,Early Stopping,Training Runtime,Model Path,Conv Block,Device
WD,WS,0.1462,resnet,8,8,25,61585149,spc,inter_area,32,0.001,mae,True,2:01:36,/home/gvaillant1/downscaling/pretrained-models/WD/WD-Best-Model,True,cpu
WD,WS,0.092,resnet,8,8,50,61585149,spc,inter_area,32,0.001,mae,True,3:53:49,/home/gvaillant1/downscaling/pretrained-models/WD/WD-Best-Model,True,cpu
WD,PSFC,0.1085,resnet,8,8,25,61585149,spc,inter_area,32,0.001,mae,True,2:28:03,/home/gvaillant1/downscaling/pretrained-models/WD/WD-Other-Models,True,cpu
WD,PSFC,0.0882,resnet,8,8,50,61585149,spc,inter_area,32,0.001,mae,True,3:09:30,/home/gvaillant1/downscaling/pretrained-models/WD/WD-Best-Model,True,cpu
WD,T2,0.0942,resnet,8,8,25,61585149,spc,inter_area,32,0.001,mae,True,2:20:38,/home/gvaillant1/downscaling/pretrained-models/WD/WD-Other-Models,True,cpu
WD,PBLH,0.0965,resnet,8,8,25,61585149,spc,inter_area,32,0.001,mae,True,4:37:51,/home/gvaillant1/downscaling/pretrained-models/WD/WD-Other-Models,True,cpu
